dataset_id,model_id,task_id,history_steps,forecast_steps,stride_steps,target_policy,window_count,prediction_count,start_timestamp,end_timestamp,mae_kw,rmse_kw,mae_pu,rmse_pu,device,runtime_seconds
hill_of_towie_multivariate_knn6,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,263388,9450492,2016-01-02 00:00:00,2024-08-31 23:50:00,296.92679159700697,483.6509722045927,0.1290986050421769,0.21028303139330112,mps,1454.799428
hill_of_towie_multivariate_knn6_power_stats,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,263388,9450492,2016-01-02 00:00:00,2024-08-31 23:50:00,294.99222475104096,480.12206669758046,0.1282574890221917,0.20874872465112193,mps,5707.038834
hill_of_towie_univariate,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,263314,9449132,2016-01-02 00:00:00,2024-08-31 23:50:00,300.7536583854166,490.304546752585,0.13076246016757184,0.2131758898924282,mps,720.760859
hill_of_towie_univariate_power_stats,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,263314,9449132,2016-01-02 00:00:00,2024-08-31 23:50:00,297.6475405694091,484.18278082026376,0.1294119741606125,0.21051425253054948,mps,1366.255474
kelmarsh_multivariate_knn6,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,77667,2783994,2016-01-21 18:00:00,2024-12-31 23:50:00,247.1482382582885,381.7469818584675,0.12056011622355536,0.18621803993095978,mps,338.639115
kelmarsh_multivariate_knn6_power_stats,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,77667,2783994,2016-01-21 18:00:00,2024-12-31 23:50:00,246.15176715826667,378.6175131443644,0.12007403276013028,0.18469146982651932,mps,1743.312252
kelmarsh_univariate,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,77647,2783551,2016-01-21 18:00:00,2024-12-31 23:50:00,252.13553441026139,390.41233990253914,0.12299294361476208,0.19044504385489702,mps,64.752124
kelmarsh_univariate_power_stats,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,77647,2783551,2016-01-21 18:00:00,2024-12-31 23:50:00,249.5746357568045,385.21647194507835,0.12174372475941696,0.18791047411955075,mps,223.725649
penmanshiel_multivariate_knn6,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,156997,5632407,2016-06-03 17:40:00,2024-12-31 20:30:00,287.1005951475683,455.4542509988049,0.14004907080369156,0.2221728053652706,mps,673.447322
penmanshiel_multivariate_knn6_power_stats,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,156997,5632407,2016-06-03 17:40:00,2024-12-31 20:30:00,285.0745677453332,450.6809840282438,0.1390607647538207,0.21984438245280138,mps,3582.61102
penmanshiel_univariate,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,156884,5630169,2016-06-03 17:40:00,2024-12-31 22:10:00,292.2333710095972,464.8781147053385,0.14255286390712021,0.22676981205138427,mps,127.500365
penmanshiel_univariate_power_stats,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,156884,5630169,2016-06-03 17:40:00,2024-12-31 22:10:00,288.38549517022585,457.8329172067908,0.14067585130254895,0.22333313034477564,mps,446.831453
sdwpf_kddcup_multivariate_knn6,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,123255,3575207,2020-05-02 00:00:00,2020-12-31 23:50:00,247.28882909256524,362.4704932249916,0.16485921939504353,0.24164699548332763,mps,658.568718
sdwpf_kddcup_univariate,amazon/chronos-2,next_6h_from_24h_stride_6h,144,36,36,invalid_to_nan_clip_0_rated,123011,3571687,2020-05-02 00:00:00,2020-12-31 23:50:00,250.1727581811045,366.08148243651266,0.1667818387874031,0.24405432162434174,mps,135.215872
